1000 0.0156005 7.06344e-05
2000 0.0433088 0.00664196
3000 0.0705429 0.000745616
4000 0.10883 0.00107905
5000 0.154762 0.00122029
6000 0.201 0.0018244
7000 0.280573 0.00124437
8000 0.32436 0.00242005
9000 0.410236 0.00429618
10000 0.471011 0.00149254
1000 0.0151367 0.0002051
2000 0.0383223 0.000981213
3000 0.0661154 0.00184987
4000 0.108589 0.00383023
5000 0.148353 0.00333962
6000 0.197342 0.00370292
7000 0.256195 0.00459894
8000 0.323571 0.00308437
1000 0.0145865 0.000186546
2000 0.0364157 0.000796871
3000 0.0672775 0.00124081
1000 0.0148164 0.000356841
2000 0.0367364 0.000922031
3000 0.0665087 0.00135545
4000 0.104068 0.000807853
5000 0.150299 0.00275744
6000 0.203373 0.0028076
7000 0.259345 0.00393549
8000 0.323573 0.00160643
9000 0.394656 0.00389547
10000 0.469755 0.00341098
