1000 0.110762 0.00917157
2000 0.217261 0.00161207
3000 0.342305 0.00157963
4000 0.470796 0.00418644
5000 0.604458 0.00209333
6000 0.751116 0.00116781
7000 0.916813 0.0035935
8000 1.06763 0.00527228
9000 1.23322 0.00401477
10000 1.40319 0.00648335
