1000 0.00075554 8.71698e-06
2000 0.00134916 1.61775e-05
3000 0.00210126 2.19126e-05
4000 0.00266038 6.67517e-05
5000 0.00336082 9.22269e-06
6000 0.00412282 0.000138467
7000 0.0048385 0.000306407
8000 0.00584692 0.000422448
9000 0.00634978 0.000259218
10000 0.00713262 0.000324771
1000 0.00077928 1.83153e-05
2000 0.00152666 0.000139501
3000 0.00219984 0.000246927
4000 0.00290126 0.000313778
5000 0.0034516 0.000371341
6000 0.00411256 3.35111e-05
7000 0.00530654 0.000516177
8000 0.00633424 0.000896033
1000 0.00081006 2.09596e-06
2000 0.00144236 6.39906e-06
3000 0.00203464 2.45171e-05
1000 0.00077568 1.70791e-06
2000 0.00146798 1.57546e-05
3000 0.0022651 0.000329125
4000 0.00302062 1.54342e-05
5000 0.00326554 1.32783e-05
6000 0.004266 2.27892e-05
7000 0.00527012 0.000409391
8000 0.00564608 0.000506032
9000 0.0059928 0.000113258
10000 0.00740776 0.000431857
