1000 0.0296782 0.000367851
2000 0.122636 0.0038383
3000 0.263015 0.00136893
4000 0.467594 0.00167666
5000 0.730701 0.00278144
6000 1.05033 0.00295024
7000 1.43124 0.00238004
8000 1.87043 0.00502023
9000 2.3666 0.00242651
10000 2.92142 0.00596233
1000 0.0302833 0.000816101
2000 0.118788 0.00109354
3000 0.266746 0.00315527
4000 0.471803 0.00183215
5000 0.737138 0.00345441
6000 1.06168 0.00286823
7000 1.45973 0.0216834
8000 1.88836 0.00546236
1000 0.0296557 0.000577083
2000 0.117253 0.00131636
3000 0.264247 0.00157638
4000 0.472017 0.00324302
1000 0.0298406 0.00119838
2000 0.118067 0.00154327
3000 0.265913 0.00549066
4000 0.470291 0.00148612
5000 0.734757 0.00324098
6000 1.059 0.00601644
7000 1.43844 0.00277084
8000 1.88105 0.00672378
9000 2.38314 0.00652309
10000 2.94545 0.00590768
